name,name_bn,description,description_bn
"Cardiology","কার্ডিওলজি","Heart and cardiovascular system","হৃদযন্ত্র ও রক্তনালী সংক্রান্ত"
"Neurology","নিউরোলজি","Nervous system","স্নায়ুতন্ত্র"
"Orthopedics","অর্থোপেডিকস","Bones and joints","হাড় ও জয়েন্ট"
"Gynecology","গাইনোকোলজি","Female reproductive health","নারী প্রজনন স্বাস্থ্য"
"Pediatrics","পেডিয়াট্রিকস","Children's health","শিশু স্বাস্থ্য"
"Dermatology","ডার্মাটোলজি","Skin diseases","ত্বক রোগ"
"Ophthalmology","অপথ্যালমোলজি","Eye and vision","চোখ ও দৃষ্টি"
"ENT","ইএনটি","Ear, Nose, Throat","কান, নাক, গলা"
"Gastroenterology","গ্যাস্ট্রোএন্টারোলজি","Digestive system","পরিপাকতন্ত্র"
"Endocrinology","এন্ডোক্রিনোলজি","Hormones and metabolism","হরমোন ও বিপাক"
